# Sentence 1
log(p(nii | <s>)) = -5.379187107086182  [nii:shortlist]
log(p(voi | <s> nii)) = -6.516104698181152  [voi:shortlist]
log(p(joo | <s> nii voi)) = -8.26742935180664  [joo:shortlist]
log(p(siis | ... nii voi joo)) = -5.179429531097412  [siis:shortlist]
log(p(ei | ... voi joo siis)) = -3.210449695587158  [ei:shortlist]
log(p(se | ... joo siis ei)) = -2.2145559787750244  [se:shortlist]
log(p(varmaa | ... siis ei se)) = -5.177892684936523  [varmaa:shortlist]
log(p(siis | ... ei se varmaa)) = -7.401226043701172  [siis:shortlist]
log(p(emmä | ... se varmaa siis)) = -10.441840171813965  [emmä:shortlist]
log(p(usko | ... varmaa siis emmä)) = -4.336113929748535  [usko:shortlist]
log(p(et | ... siis emmä usko)) = -1.2676770687103271  [et:shortlist]
log(p(sitä | ... emmä usko et)) = -3.466966390609741  [sitä:shortlist]
log(p(ongelmaa | ... usko et sitä)) = -7.3805012702941895  [ongelmaa:shortlist]
log(p(niinku | ... et sitä ongelmaa)) = -6.693766117095947  [niinku:shortlist]
log(p(se | ... sitä ongelmaa niinku)) = -4.07971715927124  [se:shortlist]
log(p(mä | ... ongelmaa niinku se)) = -9.044412612915039  [mä:shortlist]
log(p(vaan | ... niinku se mä)) = -3.989183187484741  [vaan:shortlist]
log(p(mietin | ... se mä vaan)) = -3.029489278793335  [mietin:shortlist]
log(p(niinku | ... mä vaan mietin)) = -7.154013633728027  [niinku:shortlist]
log(p(nyt | ... vaan mietin niinku)) = -4.348874092102051  [nyt:shortlist]
log(p(tota | ... mietin niinku nyt)) = -5.712131500244141  [tota:shortlist]
log(p(et | ... niinku nyt tota)) = -3.13386869430542  [et:shortlist]
log(p(et | ... nyt tota et)) = -5.209513187408447  [et:shortlist]
log(p(et | ... tota et et)) = -5.0925774574279785  [et:shortlist]
log(p(mitä | ... et et et)) = -3.1774518489837646  [mitä:shortlist]
log(p(se | ... et et mitä)) = -2.1299400329589844  [se:shortlist]
log(p(tuomas | ... et mitä se)) = -12.663117408752441  [tuomas:shortlist]
log(p(sano | ... mitä se tuomas)) = -2.951207399368286  [sano:shortlist]
log(p(sanoks | ... se tuomas sano)) = -11.367100715637207  [sanoks:shortlist]
log(p(se | ... tuomas sano sanoks)) = -0.40202951431274414  [se:shortlist]
log(p(niinku | ... sano sanoks se)) = -5.488674640655518  [niinku:shortlist]
log(p(et | ... sanoks se niinku)) = -2.0594959259033203  [et:shortlist]
log(p(ne | ... se niinku et)) = -3.229196310043335  [ne:shortlist]
log(p(avaimet | ... niinku et ne)) = -10.132575035095215  [avaimet:shortlist]
log(p(on | ... et ne avaimet)) = -0.9316264986991882  [on:shortlist]
log(p(niinku | ... ne avaimet on)) = -3.0922820568084717  [niinku:shortlist]
log(p(menny | ... avaimet on niinku)) = -5.893788814544678  [menny:shortlist]
log(p(sen | ... on niinku menny)) = -3.4451088905334473  [sen:shortlist]
log(p(roskiksen | ... niinku menny sen)) = -9.972138404846191  [roskiksen:shortlist]
log(p(mukana | ... menny sen roskiksen)) = -3.1669232845306396  [mukana:shortlist]
log(p(niinku | ... sen roskiksen mukana)) = -5.7366204261779785  [niinku:shortlist]
log(p(mä | ... roskiksen mukana niinku)) = -5.047723770141602  [mä:shortlist]
log(p(ehdotin | ... mukana niinku mä)) = -9.42620849609375  [ehdotin:shortlist]
log(p(vai | ... niinku mä ehdotin)) = -6.636200428009033  [vai:shortlist]
log(p(sanoks | ... mä ehdotin vai)) = -7.648783206939697  [sanoks:shortlist]
log(p(se | ... ehdotin vai sanoks)) = -0.7386931777000427  [se:shortlist]
log(p(</s> | ... vai sanoks se)) = -3.426924228668213  [</s>:shortlist]
Sentence perplexity: 189.5179316043349

# Sentence 2
log(p(mä | <s>)) = -4.213595867156982  [mä:shortlist]
log(p(vaan | <s> mä)) = -4.227081775665283  [vaan:shortlist]
log(p(oon | <s> mä vaan)) = -2.6055123805999756  [oon:shortlist]
log(p(kuulin | ... mä vaan oon)) = -12.178325653076172  [kuulin:shortlist]
log(p(siis | ... vaan oon kuulin)) = -7.9210100173950195  [siis:shortlist]
log(p(aikasemmin | ... oon kuulin siis)) = -8.024845123291016  [aikasemmin:shortlist]
